DATE,PS,T2M,RH2M,WS2M,GWETPROF,PRECTOTCORR_SUM,SPI6
1981-06-30,0.19101123595504532,0.07142857142857206,0.5812138339389046,-0.08745247148288948,-0.5555555555555554,0.387123413365958,-0.1112159371743805
1981-07-31,0.28089887640450684,-0.32522796352583505,0.889113174539093,-0.2623574144486689,0.03703703703703631,0.45159810368557896,0.747892347457406
1981-08-31,0.25842696629214856,-0.35410334346504513,0.929484591575831,-0.6730038022813687,0.33333333333333304,0.48389662027833014,1.6261160629482556
1981-09-30,0.30337078651689353,-0.3647416413373854,0.9345983044004842,-0.7718631178707223,1.0,0.12904113778865267,2.275244235870629
1981-10-31,0.03370786516856583,-0.20972644376899652,0.7074417978737717,-0.8250950570342204,0.7037037037037033,-1.0,2.1225018063358
1981-11-30,0.19101123595504532,-0.6474164133738598,0.15220024222850204,-0.3460076045627376,0.11111111111111072,-1.0,1.7788584924830857
1981-12-31,0.19101123595504532,-0.6838905775075985,-0.1842282330776479,-0.29277566539923927,-0.2592592592592595,-1.0,0.9579086626343546
1982-01-31,0.10112359550564065,-0.5866261398176289,-0.5591441259588212,0.14068441064638781,-0.5555555555555554,-1.0,0.0988003780025681
1982-02-28,-0.16853932584268705,-0.24012158054711197,-0.43130130534248434,-0.019011406844106293,-0.7037037037037037,-0.9032267930876281,-0.7221494518461627
1982-03-31,-0.3932584269662698,0.25835866261398266,-0.3473287579060692,0.019011406844106515,-0.7777777777777781,-0.9354641382474385,-1.3521621939094726
1982-04-30,-0.5280898876404194,0.46352583586626217,0.1322836764903781,0.30798479087452524,-0.8518518518518521,-0.7742162410154458,-1.218535195233707
1982-05-31,-0.1235955056179705,0.0744680851063837,0.6048983986004572,0.04182509505703447,-0.7037037037037037,-0.22581434470102457,-0.7603441100967542
1982-06-30,0.37078651685393993,-0.05775075987841927,0.6635715246938501,-0.22433460076045608,-0.6296296296296298,-0.0967426211959016,-0.2257637084586186
1982-07-31,0.3258426966292234,-0.2522796352583585,0.7865697752657783,-0.376425855513308,-0.40740740740740744,-0.03226793087628088,0.3469751479625721
1982-08-31,0.34831460674158166,-0.39513677811550085,0.9109137397389313,-0.40684410646387814,-0.185185185185186,0.16127848294846303,0.9769878900258822
1982-09-30,0.2359550561797903,-0.24316109422492316,0.835284618490109,-0.7794676806083649,0.03703703703703631,3.058571647041042e-05,1.5306475190555455
1982-10-31,0.03370786516856583,-0.2173252279635256,0.7058269411923024,-0.6882129277566538,-0.0370370370370372,-0.5161339654381405,1.6833899485903745
1982-11-30,0.1235955056179705,-0.4893617021276593,-0.01251513928138892,-0.5133079847908744,-0.3333333333333339,-1.0,1.225198863453422
1982-12-31,0.16853932584271547,-0.5273556231003034,-0.4617144395101602,0.011406844106464087,-0.6296296296296298,-1.0,0.6906184618152863
1983-01-31,0.752808988764059,-0.9072948328267474,-0.7340869331180192,1.0,-0.7777777777777781,-1.0,0.1178796053940957
1983-02-28,-0.03370786516853741,0.12006079027355732,-0.7577714977795722,0.28517110266159706,-0.8518518518518521,-1.0,-0.5694070223113332
1983-03-31,-0.16853932584268705,0.2902735562310035,-0.8587000403714171,0.6958174904942966,-0.925925925925926,-1.0,-1.1612613095915876
1983-04-30,-0.6179775280898809,0.7127659574468099,-0.17077109406540192,-0.20152091254752813,-1.0000000000000004,-0.8709894479278177,-1.3712776247685363
1983-05-31,-0.5056179775280611,0.537993920972645,0.2229847934329161,0.26235741444866933,-1.0000000000000004,-0.3870622419330173,-1.0085188800567582
1983-06-30,0.19101123595504532,-0.09270516717325172,0.7731126362535323,-0.2319391634980985,-0.40740740740740744,0.35482489677320683,-0.206684481067091
1983-07-31,0.21348314606743202,-0.20668693009118488,0.8455120441394155,-0.39163498098859306,-0.185185185185186,3.058571647041042e-05,0.3851698062131636
1983-08-31,0.5056179775280896,-0.22188449848024216,0.7679989234288787,-0.5361216730038021,-0.185185185185186,-0.45159810368557884,0.7097338926743504
1983-09-30,0.28089887640450684,-0.26291793313069833,0.7932983447719013,-0.6730038022813687,-0.185185185185186,0.03226793087628077,1.3206674073461326
1983-10-31,0.1460674157303572,-0.12006079027355554,0.21948593728973198,-0.49809885931558906,-0.3333333333333339,-1.0,1.244314294312486
1983-11-30,0.25842696629214856,-0.06990881458966491,-0.2951150585385549,-0.44486692015209117,-0.6296296296296298,-1.0,0.8815555496007077
1983-12-31,0.16853932584271547,-0.21580547112461934,-0.47328757906069185,-0.3155893536121672,-0.7037037037037037,-1.0,0.0797211506110405
1984-01-31,0.10112359550564065,-0.49088145896656465,-0.7289732202933658,0.20152091254752857,-0.8518518518518521,-1.0,-0.5121331366692141
1984-02-29,-0.34831460674155323,-0.13069908814589581,-0.8266720495222717,0.27756653992395464,-0.925925925925926,-1.0,-0.8366972231304008
1984-03-31,-0.707865168539314,0.4620060790273568,-0.4162293096487688,0.1482889733840307,-1.0000000000000004,-1.0,-1.447630737802183
1984-04-30,-0.6629213483145975,0.5167173252279644,0.02947113443681859,0.45247148288973404,-1.0000000000000004,-0.6451445175103228,-1.2376144226252344
1984-05-31,-0.41573033707862805,0.0835866261398186,0.5763692638944957,0.163498098859316,-0.8518518518518521,-0.35482489677320694,-0.8557764505219285
1984-06-30,0.03370786516856583,-0.025835866261397555,0.6116269681065802,-0.1254752851711025,-0.7037037037037037,-0.4193607585257685,-0.5121331366692139
1984-07-31,0.056179775280924105,-0.16717325227963453,0.667070380837034,-0.3460076045627376,-0.7037037037037037,3.058571647041042e-05,0.0797211506110405
