DATE,PS,T2M,RH2M,WD2M,WS2M,GWETPROF,PRECTOTCORR_SUM,SPI6
1981-06-30,0.2619047619047592,0.07066052227342468,0.6030240549828179,0.49370438687946105,-0.1693548387096775,-0.625,-0.013715710723191998,-0.3447052331098512
1981-07-31,0.3333333333333428,-0.3072196620583725,0.8969072164948453,0.6145641190151574,-0.27419354838709675,-0.1875,0.3972880299251871,0.5184985145306483
1981-08-31,0.309523809523796,-0.3149001536098317,0.9158762886597938,0.5999679204426978,-0.7338709677419355,0.12500000000000044,0.34247714048212785,1.3478416950114256
1981-09-30,0.3571428571428612,-0.3225806451612909,0.9123024054982816,0.5047718341486886,-0.8306451612903227,0.5624999999999996,-0.20547589359933494,1.8217612539502477
1981-10-31,0.04761904761903679,-0.1505376344086029,0.6959450171821304,0.30876573903280136,-0.8145161290322582,0.37499999999999956,-1.0,1.652522608800281
1981-11-30,0.1904761904761756,-0.5284178187403996,0.15271477663230226,-0.5513673911300023,-0.37903225806451624,-0.125,-1.0,1.3309274590937252
1981-12-31,0.16666666666668561,-0.5345622119815676,-0.1925773195876288,-0.6025342850268666,-0.4193548387096775,-0.43750000000000044,-1.0,0.7216298221646591
1982-01-31,0.095238095238102,-0.46236559139784994,-0.5670103092783505,-0.8761729088138583,0.04838709677419328,-0.625,-1.0,-0.1415739254758403
1982-02-28,-0.1666666666666572,-0.17511520737327224,-0.3283848797250861,-0.6741518967038255,-0.08870967741935498,-0.75,-0.862998753117207,-0.8862817357194732
1982-03-31,-0.3809523809523796,0.2626728110599075,-0.23546391752577334,-0.3989894939449835,-0.10483870967741948,-0.8125,-0.917809642560266,-1.326340727498573
1982-04-30,-0.4999999999999716,0.4854070660522263,0.1890034364261166,0.6375812013794209,0.24999999999999978,-0.875,-0.780808395677473,-1.1909305541840065
1982-05-31,-0.09523809523807358,0.1167434715821809,0.5997250859106527,0.5939530034485523,-0.11290322580645196,-0.75,-0.452046965918537,-0.8524211685597513
1982-06-30,0.4285714285714448,-0.05837173579109134,0.694020618556701,0.5047718341486886,-0.306451612903226,-0.6875,-0.23285536159600995,-0.3785016096209292
1982-07-31,0.3809523809523796,-0.22887864823348725,0.7784192439862543,0.5112679445023658,-0.4516129032258067,-0.49999999999999956,-0.12328553615960092,0.1631069883130149
1982-08-31,0.404761904761898,-0.3855606758832568,0.9224742268041237,0.5784746170502846,-0.42741935483870996,-0.31250000000000044,0.09590606816292602,0.7554903893243811
