DATE,PS,T2M,RH2M,WS2M,GWETPROF,PRECTOTCORR_SUM,SPI6
1981-06-30,0.161290322580669,0.11638250555967389,0.5401692798667963,0.0386266094420602,-0.5555555555555549,0.24589654314847054,-0.2808204105010068
1981-07-31,0.2688172043010866,-0.2942920681986654,0.8853892049396421,-0.2618025751072961,0.1111111111111116,0.5082069137030589,0.6081675752070622
1981-08-31,0.24731182795702011,-0.31949592290585604,0.9184126543638129,-0.6566523605150216,0.3333333333333339,0.377020641631435,1.4198299508135557
1981-09-30,0.29032258064518146,-0.3491475166790212,0.942555848480644,-0.7682403433476395,1.0,0.24589654314847054,2.134890284605947
1981-10-31,0.010752688172061653,-0.18606375092661187,0.6789232690439855,-0.8454935622317599,0.7037037037037042,-1.0,2.0189385166621627
1981-11-30,0.20430107526883035,-0.6041512231282429,0.10670181767725828,-0.3905579399141632,0.185185185185186,-1.0,1.7483721757238049
1981-12-31,0.20430107526883035,-0.6308376575240917,-0.23158040793672807,-0.3819742489270388,-0.25925925925925863,-1.0,1.013998763010309
1982-01-31,0.09677419354838435,-0.5700518902891027,-0.5368391841265436,0.02145922746781137,-0.48148148148148096,-1.0,0.1250107773022395
1982-02-28,-0.1397849462365457,-0.23054114158636008,-0.4535867906202302,-0.05579399141630903,-0.6296296296296293,-0.934406863964188,-0.6479887932534656
1982-03-31,-0.37634408602150415,0.30318754633061573,-0.4311086443735256,0.14163090128755362,-0.7777777777777772,-0.9672345187764237,-1.3630491270458571
1982-04-30,-0.548387096774178,0.5003706449221648,0.08422367143055376,0.36480686695278974,-0.8518518518518512,-0.7705172842576473,-1.2277842801809682
1982-05-31,-0.16129032258064058,0.14158636026686455,0.5487720271957821,0.10729613733905552,-0.6296296296296293,-0.24589654314847054,-0.7832902873269336
1982-06-30,0.3333333333333428,-0.04373610081541823,0.6581101706674071,-0.1673819742489271,-0.48148148148148096,-0.08194478985327036,-0.2421576054502191
1982-07-31,0.31182795698927634,-0.2083024462564862,0.7519078673511865,-0.35622317596566555,-0.3333333333333326,-0.24589654314847054,0.2023363874038154
1982-08-31,0.3333333333333428,-0.35359525574499573,0.8889968086582489,-0.3905579399141632,-0.18518518518518423,0.04917930862969411,0.782095227122739
1982-09-30,0.22580645161292523,-0.19644180874721995,0.7935340641043434,-0.7768240343347639,-0.11111111111110983,-0.2786620243720468,1.1879630621345647
1982-10-31,0.010752688172061653,-0.10007412898443313,0.57652282503122,-0.6223175965665237,-0.25925925925925863,-0.5738000497388709,1.3039148300783494
1982-11-30,0.11827956989247923,-0.43068939955522634,-0.08755376717080621,-0.4763948497854076,-0.48148148148148096,-0.9672345187764237,0.8787339161454194
1982-12-31,0.18279569892476388,-0.49592290585618937,-0.4866102400444011,-0.0729613733905583,-0.6296296296296293,-1.0,0.3376012342687045
1983-01-31,0.76344086021507,-0.9229058561897703,-0.7416400721520743,1.0,-0.7777777777777772,-1.0,-0.10689275858533
1983-02-28,-0.032258064516128115,0.09562638991845862,-0.7657832662689052,0.24463519313304705,-0.8518518518518512,-1.0,-0.7253144033550415
1983-03-31,-0.16129032258064058,0.267605633802817,-0.8820591091993895,0.7253218884120174,-0.8518518518518512,-1.0,-1.1504953172879715
1983-04-30,-0.6129032258064342,0.7879911045218684,-0.31150270570278904,-0.10729613733905596,-0.9259259259259256,-0.934406863964188,-1.3630491270458576
1983-05-31,-0.5268817204300831,0.6234247590808009,0.12057721659497722,0.3562231759656651,-0.9259259259259256,-0.5082069137030589,-1.0924827861075004
1983-06-30,0.18279569892476388,-0.0778354336545588,0.7760510614680176,-0.18454935622317614,-0.3333333333333326,0.4753792588908232,-0.2228445265291147
1983-07-31,0.20430107526883035,-0.17272053372868745,0.8315526571388929,-0.36480686695278974,-0.03703703703703631,0.08194478985327036,0.4148901971617013
1983-08-31,0.48387096774195015,-0.2127501853224607,0.7727209657277649,-0.5193133047210301,-0.11111111111110983,-0.34425516040785875,0.8014083060438435
1983-09-30,0.29032258064518146,-0.2572275759822089,0.8090745108921884,-0.6566523605150216,0.1111111111111116,0.24589654314847054,1.5357817187573397
1983-10-31,0.161290322580669,-0.16530763528539616,0.2732066046898849,-0.5793991416309012,-0.11111111111110983,-1.0,1.497118913706552
1983-11-30,0.2688172043010866,-0.14603409933283906,-0.212432357430276,-0.4849785407725322,-0.407407407407407,-1.0,1.20723949384709
1983-12-31,0.18279569892476388,-0.276501111934766,-0.3617316497849312,-0.45064377682403456,-0.6296296296296293,-1.0,0.3376012342687045
1984-01-31,0.1397849462365457,-0.5715344699777614,-0.639239628139309,0.0815450643776825,-0.7777777777777772,-1.0,-0.3001334894221117
1984-02-29,-0.3333333333333144,-0.17568569310600424,-0.7813237130567503,0.2017167381974252,-0.8518518518518512,-1.0,-0.6866515983042537
1984-03-31,-0.6989247311827853,0.48702742772424035,-0.451921742750104,0.13304721030042943,-0.8518518518518512,-1.0,-1.42102501101775
1984-04-30,-0.6774193548386904,0.5982209043736102,-0.07562092410156795,0.5708154506437766,-0.9259259259259256,-0.8032827654812236,-1.305073243073965
1984-05-31,-0.4193548387096655,0.09117865085248411,0.5731927292909673,0.296137339055794,-0.7777777777777772,-0.18030340711265858,-0.8219164451691428
1984-06-30,0.010752688172061653,0.015567086730912116,0.5748577771610937,-0.0815450643776825,-0.6296296296296293,-0.3114896791842825,-0.4160852573658963
1984-07-31,0.053763440860223,-0.13269088213491465,0.6217566255029836,-0.27896995708154493,-0.5555555555555549,-0.11477244466550618,0.1056976983811349
