epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.2564126253128052,0.5063720345497131,0.10608779639005661,0.3257112205028534
1,0.04746347293257713,0.2178611308336258,0.023547576740384102,0.15345220267772675
2,0.030500296503305435,0.17464333772659302,0.030488448217511177,0.17460942268371582
3,0.02171844244003296,0.1473717838525772,0.017628727480769157,0.13277322053909302
4,0.015255110338330269,0.12351158261299133,0.022026577964425087,0.1484135389328003
5,0.012389822863042355,0.11130958050489426,0.013121395371854305,0.11454866081476212
6,0.008176594972610474,0.09042452275753021,0.011608559638261795,0.1077430248260498
7,0.008477045223116875,0.09207087010145187,0.00933278352022171,0.09660632908344269
8,0.00654939841479063,0.08092835545539856,0.010950719006359577,0.10464568436145782
9,0.006246829405426979,0.0790368840098381,0.009918472729623318,0.09959153085947037
10,0.005331925116479397,0.07302003353834152,0.007905553095042706,0.08891317993402481
11,0.004934392403811216,0.07024522870779037,0.00775504345074296,0.08806272596120834
12,0.004451700020581484,0.06672105938196182,0.007800545543432236,0.08832069486379623
13,0.004162249621003866,0.06451550126075745,0.007620869670063257,0.08729759603738785
14,0.00382022513076663,0.06180797144770622,0.006759235635399818,0.08221457153558731
15,0.0035080553498119116,0.05922883749008179,0.006932321470230818,0.08326056599617004
16,0.003281347919255495,0.05728305131196976,0.00699822511523962,0.08365539461374283
17,0.003077155677601695,0.05547211691737175,0.0067020198330283165,0.08186586201190948
18,0.0028935065492987633,0.05379132553935051,0.006553049199283123,0.08095090836286545
19,0.002714035101234913,0.052096400409936905,0.006761953700333834,0.08223109692335129
20,0.0025708102621138096,0.05070315673947334,0.00656334962695837,0.08101449906826019
21,0.0024108784273266792,0.04910069704055786,0.006564512383192778,0.08102168142795563
22,0.0022870704997330904,0.04782332479953766,0.0064866808243095875,0.08053993433713913
23,0.002162122866138816,0.04649863392114639,0.006464384961873293,0.08040139824151993
24,0.0020497371442615986,0.045274022966623306,0.006440162658691406,0.08025062084197998
25,0.0019462383352220058,0.04411619156599045,0.006468320731073618,0.08042587339878082
26,0.0018555100541561842,0.04307563230395317,0.006441221572458744,0.08025722205638885
27,0.0017622781451791525,0.04197949543595314,0.006500126328319311,0.08062335848808289
28,0.0016904522199183702,0.041115108877420425,0.0064451443031430244,0.08028165251016617
29,0.0016125589609146118,0.04015668109059334,0.006421857047826052,0.0801364928483963
30,0.0015396417584270239,0.03923827037215233,0.006521764677017927,0.08075744658708572
31,0.0014711656840518117,0.03835577890276909,0.006493513472378254,0.08058234304189682
32,0.001409339252859354,0.037541165947914124,0.006528244353830814,0.08079755306243896
33,0.001346051343716681,0.03668857365846634,0.006611401680856943,0.08131052553653717
34,0.0012885094620287418,0.03589581325650215,0.006623562425374985,0.08138526976108551
35,0.0012439938727766275,0.03527029603719711,0.0066054631024599075,0.08127400279045105
36,0.0011833207681775093,0.03439943119883537,0.006663316395133734,0.08162914216518402
37,0.0011337567120790482,0.0336713045835495,0.006686030421406031,0.08176814764738083
38,0.001088641700334847,0.03299457207322121,0.006719333119690418,0.08197154104709625
39,0.0010528343264013529,0.03244740888476372,0.006716594565659761,0.08195482939481735
40,0.001004861551336944,0.03169955313205719,0.006837190128862858,0.08268730342388153
41,0.0009661648655310273,0.03108319267630577,0.0068143331445753574,0.08254897594451904
42,0.000935298390686512,0.030582647770643234,0.006814340595155954,0.08254902064800262
43,0.0008983673178590834,0.029972776770591736,0.006828729994595051,0.08263613283634186
44,0.0008648467482998967,0.029408276081085205,0.006863967049866915,0.08284906297922134
45,0.0008318402105942369,0.028841640800237656,0.006930321455001831,0.0832485556602478
46,0.0008104657172225416,0.028468679636716843,0.0069224475882947445,0.08320124447345734
47,0.000780407979618758,0.027935782447457314,0.006903532426804304,0.0830874964594841
48,0.0007516471087001264,0.027416182681918144,0.007004105020314455,0.08369053155183792
49,0.0007250721682794392,0.02692716382443905,0.007111547980457544,0.0843299925327301
50,0.0006974769057705998,0.02640978805720806,0.007153233513236046,0.0845767930150032
51,0.0006832710350863636,0.026139453053474426,0.007042713463306427,0.08392087370157242
52,0.0006640366045758128,0.025768907740712166,0.006885375827550888,0.08297816663980484
53,0.000626206980086863,0.02502412721514702,0.0071462178602814674,0.08453530818223953
54,0.0006139450706541538,0.024777915328741074,0.007192378398030996,0.08480788767337799
55,0.0006053209071978927,0.02460326999425888,0.0072123585268855095,0.08492560684680939
56,0.0005767323891632259,0.02401525340974331,0.007279471028596163,0.08531981706619263
57,0.0005789566203020513,0.024061517789959908,0.0072851707227528095,0.08535321056842804
58,0.000597682548686862,0.024447547271847725,0.00706332316622138,0.08404357731342316
59,0.0005438199150376022,0.023319946601986885,0.007297462318092585,0.08542518317699432
60,0.0005426710704341531,0.02329530194401741,0.007497341837733984,0.08658719062805176
61,0.0006283671827986836,0.025067253038287163,0.007410022895783186,0.08608148992061615
62,0.0005836135824210942,0.024158095940947533,0.007563702762126923,0.08696955442428589
63,0.0005671943072229624,0.02381584234535694,0.007752695120871067,0.08804938942193985
64,0.0007051737629808486,0.026555107906460762,0.007364755962044001,0.08581815659999847
65,0.0006789675098843873,0.026057004928588867,0.007260989863425493,0.08521144092082977
66,0.0005777187761850655,0.024035781621932983,0.007849552668631077,0.08859769999980927
67,0.0008050386095419526,0.028373202309012413,0.007777744438499212,0.08819152414798737
68,0.0008738833130337298,0.029561517760157585,0.00794177781790495,0.0891166552901268
69,0.0007146393181756139,0.026732739061117172,0.008438797667622566,0.09186293184757233
70,0.0009877337142825127,0.03142823278903961,0.007231791969388723,0.08503994345664978
71,0.0007529460126534104,0.027439862489700317,0.007783173117786646,0.08822229504585266
72,0.0007250929484143853,0.02692754939198494,0.00804134365171194,0.08967354148626328
73,0.000940633297432214,0.030669745057821274,0.008063039742410183,0.08979442715644836
74,0.0006580655463039875,0.02565278857946396,0.008595793507993221,0.09271350502967834
75,0.0007874895818531513,0.0280622448772192,0.007186435163021088,0.08477284759283066
76,0.0005250504473224282,0.0229139793664217,0.007732470985502005,0.0879344716668129
77,0.0006294682971201837,0.025089206174016,0.007459437008947134,0.08636803179979324
78,0.0005780869396403432,0.024043438956141472,0.008318656124174595,0.09120666980743408
79,0.0005933852517046034,0.024359500035643578,0.007841058075428009,0.08854974806308746
80,0.0005366825498640537,0.023166410624980927,0.007356718648225069,0.08577131479978561
81,0.00041429471457377076,0.02035422995686531,0.007696083746850491,0.08772732317447662
82,0.0005316798924468458,0.02305818535387516,0.007583859842270613,0.08708535879850388
83,0.0003988505632150918,0.019971244037151337,0.008171320892870426,0.09039536118507385
84,0.0004926617839373648,0.022195985540747643,0.007400157395750284,0.08602416515350342
