DATE,SPI6(t),PS(t-1),T2M(t),RH2M(t-2),WS2M(t-1),GWETPROF(t),PRECTOTCORR_SUM(t-3),SPI6(t-1),WD2M(t-3)
1981-11-30,1.1629905915872565,0.02272727272728048,-0.5037369207772793,0.9091173054587687,-0.7556561085972848,-0.2307692307692304,-0.02503081444960653,1.4240393278530412,0.5193203413198197
1981-12-31,0.6082852299795853,0.18181818181815856,-0.4738415545590433,0.640534262485482,-0.3665158371040722,-0.4358974358974357,-0.10002844410732914,1.1629905915872565,0.4671535566568543
1982-01-31,-0.1911339860796577,0.18181818181815856,-0.4379671150971598,0.05981416957026697,-0.46606334841628927,-0.6410256410256414,-1.0,0.6082852299795853,0.2068413011886574
1982-02-28,-0.7621432922253792,0.06818181818181301,-0.16890881913303435,-0.3066202090592336,0.022624434389140635,-0.7435897435897436,-1.0,-0.1911339860796577,-0.5412303908782651
1982-03-31,-1.3331525983711008,-0.1590909090909065,0.3393124065769806,-0.5046457607433217,0.049773755656108865,-0.8461538461538463,-1.0,-0.7621432922253792,-0.5068003130007079
1982-04-30,-1.1536854593478938,-0.38636363636365445,0.5037369207772793,-0.37572590011614415,0.131221719457014,-0.8974358974358974,-1.0,-1.3331525983711008,-0.8281477065245743
1982-05-31,-0.7295044658731152,-0.5227272727272521,0.15844544095665203,-0.41202090592334506,0.3936651583710411,-0.7435897435897436,-0.9000189627382194,-1.1536854593478938,-0.5468196892350113
1982-06-30,-0.174799104265444,-0.11363636363637397,-0.061285500747383814,0.11236933797909399,0.049773755656108865,-0.5897435897435899,-0.975016592395942,-0.7295044658731152,-0.3111003465364982
1982-07-31,0.2004391183190202,0.4090909090909065,-0.18385650224215233,0.5406504065040649,-0.21266968325791846,-0.4358974358974357,-0.7249928889731677,-0.174799104265444,0.5174572418675709
1982-08-31,0.7062017090363771,0.3409090909090935,-0.3243647234678626,0.7020905923344949,-0.38461538461538436,-0.33333333333333304,-0.3500047406845548,0.2004391183190202,0.5095577001900362
1982-09-30,0.9835543898402128,0.38636363636362603,-0.13004484304932706,0.738675958188153,-0.3212669683257916,-0.28205128205128194,-0.1499952593154451,0.7062017090363771,0.4634273577523569
1982-10-31,1.032497160730527,0.24999999999997158,-0.040358744394618284,0.8745644599303137,-0.7104072398190042,-0.4358974358974357,-0.4250023703422774,0.9835543898402128,0.44434921936132943
1982-11-30,0.6083161672557486,0.02272727272728048,-0.34678624813153913,0.7421602787456445,-0.43891402714932104,-0.5897435897435899,-0.12501185171138718,1.032497160730527,0.526325595260275
1982-12-31,0.0536108056480771,0.13636363636362603,-0.4200298953662185,0.5226480836236931,-0.42986425339366496,-0.7435897435897436,-0.5500142220536646,0.6083161672557486,0.40805604203152357
1983-01-31,-0.3216274169363871,0.1590909090909065,-0.8579970104633783,-0.06910569105691056,-0.20361990950226216,-0.8461538461538463,-0.6499952593154452,0.0536108056480771,0.2524499757797072
1983-02-28,-0.8926367230821086,0.7272727272727195,0.1748878923766819,-0.4265389082462254,0.9819004524886883,-0.8974358974358974,-1.0,-0.3216274169363871,-0.466259268919775
1983-03-31,-1.1862933484239946,-0.04545454545456096,0.3243647234678626,-0.7259001161440186,0.2036199095022626,-0.9487179487179489,-1.0,-0.8926367230821086,-0.6418377612996982
1983-04-30,-1.3983993137994657,-0.18181818181818699,0.8251121076233181,-0.7006387921022069,0.5113122171945705,-0.9487179487179489,-1.0,-1.1862933484239946,-0.732160822744718
1983-05-31,-1.0721038621053154,-0.613636363636374,0.5814648729446938,-0.8928571428571429,-0.06787330316742057,-0.9487179487179489,-1.0,-1.3983993137994657,-0.538398479710847
1983-06-30,-0.2890195278602863,-0.4772727272727195,-0.08819133034379645,-0.3103948896631825,0.4027149321266972,-0.5384615384615388,-1.0,-1.0721038621053154,-0.6031598166710139
1983-07-31,0.2819897782854353,0.22727272727271952,-0.1509715994020926,0.13588850174216005,-0.18552036199095,-0.28205128205128194,-0.975016592395942,-0.2890195278602863,0.20169914670045075
1983-08-31,0.6898668272221633,0.24999999999997158,-0.21076233183856452,0.7929732868757258,-0.339366515837104,-0.28205128205128194,-0.5,0.2819897782854353,0.38942504750903595
1983-09-30,1.3261228487962498,0.545454545454561,-0.2556053811659189,0.8164924506387923,-0.4479638009049771,-0.0769230769230771,0.1999620745235613,0.6898668272221633,0.497484815739464
1983-10-31,1.3098189042581994,0.3409090909090935,-0.17488789237668145,0.7801974448315914,-0.6380090497737554,-0.1794871794871793,-0.12501185171138718,1.3261228487962498,0.4880947945001304
1983-11-30,0.9835234525640494,0.20454545454543904,-0.15396113602391637,0.8365272938443669,-0.6018099547511309,-0.4871794871794872,-0.3749881482886128,1.3098189042581994,0.4652904572046055
1983-12-31,0.2004391183190199,0.318181818181813,-0.21823617339312396,0.3484320557491287,-0.42081447963800866,-0.6410256410256414,-0.02503081444960653,0.9835234525640494,0.31348511383537647
1984-01-31,-0.3705701878267014,0.18181818181815856,-0.5037369207772793,-0.1344367015098722,-0.5022624434389138,-0.7435897435897436,-1.0,0.2004391183190199,-0.1844095837835824
1984-02-29,-0.7784472367634296,0.11363636363637397,-0.09267563527653211,-0.22706155632984926,-0.1040723981900451,-0.8461538461538463,-1.0,-0.3705701878267014,-0.34046279390393863
1984-03-31,-1.414703258337516,-0.36363636363637397,0.5411061285500747,-0.5153890824622533,0.09502262443438969,-0.9487179487179489,-1.0,-0.7784472367634296,-0.44576517494503853
1984-04-30,-1.3331216610949377,-0.704545454545439,0.5859491778774286,-0.6570847851335658,0.17647058823529438,-0.9487179487179489,-1.0,-1.414703258337516,-0.5398144352945561
1984-05-31,-0.9415794939724228,-0.6590909090909065,0.10164424514200299,-0.3885017421602788,0.6018099547511317,-0.8461538461538463,-1.0,-1.3331216610949377,-0.6427320490367776
1984-06-30,-0.615284042278273,-0.38636363636365445,0.08071748878923746,-0.056329849012775934,0.23981900452488691,-0.7435897435897436,-1.0,-0.9415794939724228,0.45828520326415023
1984-07-31,-0.2074069933415447,0.04545454545456096,-0.12406576980567996,0.5644599303135887,-0.03167420814479627,-0.6923076923076921,-0.8749881482886128,-0.615284042278273,0.4588068711107798
1984-08-31,0.1678312292429195,0.09090909090909349,-0.1569506726457397,0.5116144018583042,-0.276018099547511,-0.5897435897435899,-0.40001896273821935,-0.2074069933415447,0.4243022692551328
1984-09-30,0.7551444799266913,0.22727272727271952,-0.26905829596412545,0.6170150987224154,-0.42081447963800866,-0.4358974358974357,-0.5,0.1678312292429195,0.4685695122405633
1984-10-31,0.8693339662453702,0.11363636363637397,-0.1255605381165914,0.6858304297328686,-0.5746606334841626,-0.3846153846153846,-0.3749881482886128,0.7551444799266913,0.3623728434623841
1984-11-30,0.4777917991228558,-0.022727272727252057,-0.11509715994020908,0.8510452961672472,-0.6289592760180993,-0.5897435897435899,-0.4250023703422774,0.8693339662453702,0.33442635167865253
1984-12-31,0.1514963474287058,0.0,-0.4932735426008965,0.5714285714285716,-0.3665158371040722,-0.7435897435897436,-0.10002844410732914,0.4777917991228558,0.3810038379848717
1985-01-31,-0.2563807015080225,-0.022727272727252057,-0.1315396113602394,-0.08536585365853666,-0.20361990950226216,-0.8461538461538463,-0.7000094813691097,0.1514963474287058,0.2622126169094907
1985-02-28,-0.6316189240924867,-0.18181818181818699,-0.33931240657698014,-0.3774680603948899,-0.0407239819004519,-0.8974358974358974,-1.0,-0.2563807015080225,-0.27480716920669224
1985-03-31,-1.2189321747762585,0.09090909090909349,0.5635276532137521,-0.5464576074332174,0.384615384615385,-0.9487179487179489,-1.0,-0.6316189240924867,-0.5719342698513247
1985-04-30,-1.3820644319852518,-0.7272727272727195,0.6083707025411069,-0.9909988385598143,0.17647058823529438,-0.9487179487179489,-1.0,-1.2189321747762585,-0.7047359988076163
1985-05-31,-1.2352361193143089,-0.568181818181813,0.49177877428998507,-0.4883855981416958,-0.04977375565610842,-1.0,-1.0,-1.3820644319852518,-0.6688154413682603
1985-06-30,-0.8926367230821086,-0.4090909090909065,0.055306427503737154,-0.3086527293844368,0.6199095022624439,-0.8974358974358974,-1.0,-1.2352361193143089,0.2128777434139435
